qid,dataset,question,failure_label,secondary_failure_label,rewrite_type,query
korquad1_dev_q_001524,korquad1,용감한  형제 1집의 4번 트랙 노래 제목은?,numeric_temporal_mismatch,,structured_rewrite,대상: 용감한 형제 1집 / 요구정보: 정답 정보 / 숫자·시간 조건: 1집 4번
korquad1_dev_q_001524,korquad1,용감한  형제 1집의 4번 트랙 노래 제목은?,numeric_temporal_mismatch,,llm_rewrite,용감한 형제 1집에서 특정 숫자나 시간 조건에 해당하는 정답 정보를 찾는 검색 질의
korquad1_dev_q_001568,korquad1,전현희가 졸업한 고등학교 이름은 무엇인가?,entity_ambiguity,,original,전현희가 졸업한 고등학교 이름은 무엇인가?
korquad1_dev_q_001568,korquad1,전현희가 졸업한 고등학교 이름은 무엇인가?,entity_ambiguity,,keyword_rewrite,고등학교 전현희 졸업한 무엇인 이름 entity 관계 요구정보
korquad1_dev_q_001568,korquad1,전현희가 졸업한 고등학교 이름은 무엇인가?,entity_ambiguity,,semantic_rewrite,고등학교 전현희 졸업한와 관련된 entity 관계 요구정보를 더 명확히 묻는 질문
korquad1_dev_q_001568,korquad1,전현희가 졸업한 고등학교 이름은 무엇인가?,entity_ambiguity,,structured_rewrite,entity: 고등학교 전현희 졸업한 / 관계: entity 관계 요구정보 / 요구정보: 정답 정보
korquad1_dev_q_001568,korquad1,전현희가 졸업한 고등학교 이름은 무엇인가?,entity_ambiguity,,llm_rewrite,고등학교 전현희 졸업한와 연결된 인물·기관·장소 정보를 구체화해서 찾는 검색 질의
korquad1_dev_q_001579,korquad1,군사 훈련소에서 강제 퇴소될 당시의 병명은?,too_broad_query,,original,군사 훈련소에서 강제 퇴소될 당시의 병명은?
korquad1_dev_q_001579,korquad1,군사 훈련소에서 강제 퇴소될 당시의 병명은?,too_broad_query,,keyword_rewrite,훈련소 퇴소될 군사 강제 당시 병명 정답 정보
korquad1_dev_q_001579,korquad1,군사 훈련소에서 강제 퇴소될 당시의 병명은?,too_broad_query,,semantic_rewrite,훈련소 퇴소될 군사 중에서 퇴소될 군사 강제 조건에 맞는 정답 정보를 찾는 질문
korquad1_dev_q_001579,korquad1,군사 훈련소에서 강제 퇴소될 당시의 병명은?,too_broad_query,,structured_rewrite,대상: 훈련소 퇴소될 군사 / 조건: 퇴소될 군사 강제 / 제한사항: 세부 문서로 좁히기 / 요구정보: 정답 정보
korquad1_dev_q_001579,korquad1,군사 훈련소에서 강제 퇴소될 당시의 병명은?,too_broad_query,,llm_rewrite,넓은 주제인 훈련소 퇴소될 군사에서 퇴소될 군사 강제 조건으로 범위를 좁혀 정답 정보를 찾는 검색 질의
korquad1_dev_q_001802,korquad1,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?,numeric_temporal_mismatch,,original,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?
korquad1_dev_q_001802,korquad1,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?,numeric_temporal_mismatch,,keyword_rewrite,관광지구 피격당한 박왕자씨 살이었는 금강산 당시 몇
korquad1_dev_q_001802,korquad1,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?,numeric_temporal_mismatch,,semantic_rewrite,관광지구 피격당한 박왕자씨에 대한 몇 정보는 무엇인가?
korquad1_dev_q_001802,korquad1,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?,numeric_temporal_mismatch,,structured_rewrite,대상: 관광지구 피격당한 박왕자씨 / 요구정보: 숫자·연도 정보 / 숫자·시간 조건: 몇
korquad1_dev_q_001802,korquad1,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?,numeric_temporal_mismatch,,llm_rewrite,관광지구 피격당한 박왕자씨에서 특정 숫자나 시간 조건에 해당하는 숫자·연도 정보를 찾는 검색 질의
korquad1_dev_q_002259,korquad1,좋은 기록은 세운 선수를 부르는 말은?,numeric_temporal_mismatch,,original,좋은 기록은 세운 선수를 부르는 말은?
korquad1_dev_q_002259,korquad1,좋은 기록은 세운 선수를 부르는 말은?,numeric_temporal_mismatch,,keyword_rewrite,좋은 기록 세운 선수 부르 말은 숫자 시간 조건
korquad1_dev_q_002259,korquad1,좋은 기록은 세운 선수를 부르는 말은?,numeric_temporal_mismatch,,semantic_rewrite,좋은 기록 세운에 대한 숫자 시간 조건 정보는 무엇인가?
korquad1_dev_q_002259,korquad1,좋은 기록은 세운 선수를 부르는 말은?,numeric_temporal_mismatch,,structured_rewrite,대상: 좋은 기록 세운 / 요구정보: 숫자·연도 정보 / 숫자·시간 조건: 숫자 시간 조건
korquad1_dev_q_002259,korquad1,좋은 기록은 세운 선수를 부르는 말은?,numeric_temporal_mismatch,,llm_rewrite,좋은 기록 세운에서 특정 숫자나 시간 조건에 해당하는 숫자·연도 정보를 찾는 검색 질의
korquad1_dev_q_002406,korquad1,델타블루스에 아버지라고 불리는 사람이 누구인가요?,entity_ambiguity,,original,델타블루스에 아버지라고 불리는 사람이 누구인가요?
korquad1_dev_q_002406,korquad1,델타블루스에 아버지라고 불리는 사람이 누구인가요?,entity_ambiguity,,keyword_rewrite,델타블루스 누구인가요 아버지 불리 사람 인물 이름 역할
korquad1_dev_q_002406,korquad1,델타블루스에 아버지라고 불리는 사람이 누구인가요?,entity_ambiguity,,semantic_rewrite,델타블루스 누구인가요 아버지와 관련된 인물 이름 역할를 더 명확히 묻는 질문
korquad1_dev_q_002406,korquad1,델타블루스에 아버지라고 불리는 사람이 누구인가요?,entity_ambiguity,,structured_rewrite,entity: 델타블루스 누구인가요 아버지 / 관계: 인물 이름 역할 / 요구정보: 인물·주체
korquad1_dev_q_002406,korquad1,델타블루스에 아버지라고 불리는 사람이 누구인가요?,entity_ambiguity,,llm_rewrite,델타블루스 누구인가요 아버지와 연결된 인물·기관·장소 정보를 구체화해서 찾는 검색 질의
korquad1_dev_q_002589,korquad1,바이오쇼크 게임 내의 화폐 단위는?,numeric_temporal_mismatch,,original,바이오쇼크 게임 내의 화폐 단위는?
korquad1_dev_q_002589,korquad1,바이오쇼크 게임 내의 화폐 단위는?,numeric_temporal_mismatch,,keyword_rewrite,바이오쇼크 게임 내의 화폐 단위
korquad1_dev_q_002589,korquad1,바이오쇼크 게임 내의 화폐 단위는?,numeric_temporal_mismatch,,semantic_rewrite,바이오쇼크 게임 내의에 대한 단위 정보는 무엇인가?
korquad1_dev_q_002589,korquad1,바이오쇼크 게임 내의 화폐 단위는?,numeric_temporal_mismatch,,structured_rewrite,대상: 바이오쇼크 게임 내의 / 요구정보: 정답 정보 / 숫자·시간 조건: 단위
korquad1_dev_q_002589,korquad1,바이오쇼크 게임 내의 화폐 단위는?,numeric_temporal_mismatch,,llm_rewrite,바이오쇼크 게임 내의에서 특정 숫자나 시간 조건에 해당하는 정답 정보를 찾는 검색 질의
korquad1_dev_q_002598,korquad1,바이오쇼크에 나오는 수중도시의 이름은?,missing_key_term,,original,바이오쇼크에 나오는 수중도시의 이름은?
korquad1_dev_q_002598,korquad1,바이오쇼크에 나오는 수중도시의 이름은?,missing_key_term,,keyword_rewrite,바이오쇼크 수중도시 나오 이름 숫자·연도 정보
korquad1_dev_q_002598,korquad1,바이오쇼크에 나오는 수중도시의 이름은?,missing_key_term,,semantic_rewrite,바이오쇼크 수중도시 나오와 관련해 필요한 정보인 숫자·연도 정보를 명확히 묻는 질문
korquad1_dev_q_002598,korquad1,바이오쇼크에 나오는 수중도시의 이름은?,missing_key_term,,structured_rewrite,대상: 바이오쇼크 수중도시 나오 / 필요한 정보: 숫자·연도 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_002598,korquad1,바이오쇼크에 나오는 수중도시의 이름은?,missing_key_term,,llm_rewrite,바이오쇼크 수중도시 나오의 숫자·연도 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_002659,korquad1,바이오쇼크를 만들어낸 회사 이름은?,missing_key_term,,original,바이오쇼크를 만들어낸 회사 이름은?
korquad1_dev_q_002659,korquad1,바이오쇼크를 만들어낸 회사 이름은?,missing_key_term,,keyword_rewrite,바이오쇼크 만들어낸 회사 이름 정답 정보
korquad1_dev_q_002659,korquad1,바이오쇼크를 만들어낸 회사 이름은?,missing_key_term,,semantic_rewrite,바이오쇼크 만들어낸 회사와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_002659,korquad1,바이오쇼크를 만들어낸 회사 이름은?,missing_key_term,,structured_rewrite,대상: 바이오쇼크 만들어낸 회사 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_002659,korquad1,바이오쇼크를 만들어낸 회사 이름은?,missing_key_term,,llm_rewrite,바이오쇼크 만들어낸 회사의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_002957,korquad1,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?,numeric_temporal_mismatch,,original,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?
korquad1_dev_q_002957,korquad1,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?,numeric_temporal_mismatch,,keyword_rewrite,1995년 사회민주주 청년연맹 기소된 사건 구속 사람
korquad1_dev_q_002957,korquad1,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?,numeric_temporal_mismatch,,semantic_rewrite,1995년 사회민주주 청년연맹에 대한 1995년 청년연맹 정보는 무엇인가?
korquad1_dev_q_002957,korquad1,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?,numeric_temporal_mismatch,,structured_rewrite,대상: 1995년 사회민주주 청년연맹 / 요구정보: 인물·주체 / 숫자·시간 조건: 1995년 청년연맹
korquad1_dev_q_002957,korquad1,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?,numeric_temporal_mismatch,,llm_rewrite,1995년 사회민주주 청년연맹에서 특정 숫자나 시간 조건에 해당하는 인물·주체를 찾는 검색 질의
korquad1_dev_q_002979,korquad1,10월 20일 시행 되었던 것은?,numeric_temporal_mismatch,,original,10월 20일 시행 되었던 것은?
korquad1_dev_q_002979,korquad1,10월 20일 시행 되었던 것은?,numeric_temporal_mismatch,,keyword_rewrite,10월 20일 되었던 시행 것은
korquad1_dev_q_002979,korquad1,10월 20일 시행 되었던 것은?,numeric_temporal_mismatch,,semantic_rewrite,10월 20일 되었던에 대한 10월 20일 정보는 무엇인가?
korquad1_dev_q_002979,korquad1,10월 20일 시행 되었던 것은?,numeric_temporal_mismatch,,structured_rewrite,대상: 10월 20일 되었던 / 요구정보: 정답 정보 / 숫자·시간 조건: 10월 20일
korquad1_dev_q_002979,korquad1,10월 20일 시행 되었던 것은?,numeric_temporal_mismatch,,llm_rewrite,10월 20일 되었던에서 특정 숫자나 시간 조건에 해당하는 정답 정보를 찾는 검색 질의
korquad1_dev_q_002986,korquad1,김영삼은 어디를 탈당하였나?,missing_key_term,,original,김영삼은 어디를 탈당하였나?
korquad1_dev_q_002986,korquad1,김영삼은 어디를 탈당하였나?,missing_key_term,,keyword_rewrite,탈당하였나 김영삼 장소·기관
korquad1_dev_q_002986,korquad1,김영삼은 어디를 탈당하였나?,missing_key_term,,semantic_rewrite,탈당하였나 김영삼와 관련해 필요한 정보인 장소·기관를 명확히 묻는 질문
korquad1_dev_q_002986,korquad1,김영삼은 어디를 탈당하였나?,missing_key_term,,structured_rewrite,대상: 탈당하였나 김영삼 / 필요한 정보: 장소·기관 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_002986,korquad1,김영삼은 어디를 탈당하였나?,missing_key_term,,llm_rewrite,탈당하였나 김영삼의 장소·기관가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_002987,korquad1,11월 21일 진행되었던 회의는?,numeric_temporal_mismatch,,original,11월 21일 진행되었던 회의는?
korquad1_dev_q_002987,korquad1,11월 21일 진행되었던 회의는?,numeric_temporal_mismatch,,keyword_rewrite,진행되었던 11월 21일 회의
korquad1_dev_q_002987,korquad1,11월 21일 진행되었던 회의는?,numeric_temporal_mismatch,,semantic_rewrite,진행되었던 11월 21일에 대한 11월 21일 정보는 무엇인가?
korquad1_dev_q_002987,korquad1,11월 21일 진행되었던 회의는?,numeric_temporal_mismatch,,structured_rewrite,대상: 진행되었던 11월 21일 / 요구정보: 정답 정보 / 숫자·시간 조건: 11월 21일
korquad1_dev_q_002987,korquad1,11월 21일 진행되었던 회의는?,numeric_temporal_mismatch,,llm_rewrite,진행되었던 11월 21일에서 특정 숫자나 시간 조건에 해당하는 정답 정보를 찾는 검색 질의
korquad1_dev_q_003165,korquad1,이명박 정부가 내세운 이론은?,missing_key_term,,original,이명박 정부가 내세운 이론은?
korquad1_dev_q_003165,korquad1,이명박 정부가 내세운 이론은?,missing_key_term,,keyword_rewrite,이명박 내세운 정부 이론 정답 정보
korquad1_dev_q_003165,korquad1,이명박 정부가 내세운 이론은?,missing_key_term,,semantic_rewrite,이명박 내세운 정부와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_003165,korquad1,이명박 정부가 내세운 이론은?,missing_key_term,,structured_rewrite,대상: 이명박 내세운 정부 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_003165,korquad1,이명박 정부가 내세운 이론은?,missing_key_term,,llm_rewrite,이명박 내세운 정부의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_003201,korquad1,1978년 허위사실 유포죄를 폐지한 국가는?,numeric_temporal_mismatch,,original,1978년 허위사실 유포죄를 폐지한 국가는?
korquad1_dev_q_003201,korquad1,1978년 허위사실 유포죄를 폐지한 국가는?,numeric_temporal_mismatch,,keyword_rewrite,1978년 허위사실 유포죄 폐지한 국가
korquad1_dev_q_003201,korquad1,1978년 허위사실 유포죄를 폐지한 국가는?,numeric_temporal_mismatch,,semantic_rewrite,1978년 허위사실 유포죄에 대한 1978년 허위사실 정보는 무엇인가?
korquad1_dev_q_003201,korquad1,1978년 허위사실 유포죄를 폐지한 국가는?,numeric_temporal_mismatch,,structured_rewrite,대상: 1978년 허위사실 유포죄 / 요구정보: 장소·기관 / 숫자·시간 조건: 1978년 허위사실
korquad1_dev_q_003201,korquad1,1978년 허위사실 유포죄를 폐지한 국가는?,numeric_temporal_mismatch,,llm_rewrite,1978년 허위사실 유포죄에서 특정 숫자나 시간 조건에 해당하는 장소·기관를 찾는 검색 질의
korquad1_dev_q_003300,korquad1,유아인의 고향은?,missing_key_term,,original,유아인의 고향은?
korquad1_dev_q_003300,korquad1,유아인의 고향은?,missing_key_term,,keyword_rewrite,유아인 고향 정답 정보
korquad1_dev_q_003300,korquad1,유아인의 고향은?,missing_key_term,,semantic_rewrite,유아인 고향와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_003300,korquad1,유아인의 고향은?,missing_key_term,,structured_rewrite,대상: 유아인 고향 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_003300,korquad1,유아인의 고향은?,missing_key_term,,llm_rewrite,유아인 고향의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_003301,korquad1,유아인이 2013년에 출연한 드라마 장옥정사랑에살다 에서 맡은 역은?,numeric_temporal_mismatch,,original,유아인이 2013년에 출연한 드라마 장옥정사랑에살다 에서 맡은 역은?
korquad1_dev_q_003301,korquad1,유아인이 2013년에 출연한 드라마 장옥정사랑에살다 에서 맡은 역은?,numeric_temporal_mismatch,,keyword_rewrite,장옥정사랑에살다 2013년 유아인 출연한 드라마 맡은 역은
korquad1_dev_q_003301,korquad1,유아인이 2013년에 출연한 드라마 장옥정사랑에살다 에서 맡은 역은?,numeric_temporal_mismatch,,semantic_rewrite,장옥정사랑에살다 2013년 유아인에 대한 2013년 정보는 무엇인가?
korquad1_dev_q_003301,korquad1,유아인이 2013년에 출연한 드라마 장옥정사랑에살다 에서 맡은 역은?,numeric_temporal_mismatch,,structured_rewrite,대상: 장옥정사랑에살다 2013년 유아인 / 요구정보: 정답 정보 / 숫자·시간 조건: 2013년
korquad1_dev_q_003301,korquad1,유아인이 2013년에 출연한 드라마 장옥정사랑에살다 에서 맡은 역은?,numeric_temporal_mismatch,,llm_rewrite,장옥정사랑에살다 2013년 유아인에서 특정 숫자나 시간 조건에 해당하는 정답 정보를 찾는 검색 질의
korquad1_dev_q_003499,korquad1,방탄소년단이 데뷔 3년만에 입성한 곳은?,numeric_temporal_mismatch,,original,방탄소년단이 데뷔 3년만에 입성한 곳은?
korquad1_dev_q_003499,korquad1,방탄소년단이 데뷔 3년만에 입성한 곳은?,numeric_temporal_mismatch,,keyword_rewrite,방탄소년단 3년만 입성한 데뷔 곳은
korquad1_dev_q_003499,korquad1,방탄소년단이 데뷔 3년만에 입성한 곳은?,numeric_temporal_mismatch,,semantic_rewrite,방탄소년단 3년만 입성한에 대한 방탄소년단 3년만 정보는 무엇인가?
korquad1_dev_q_003499,korquad1,방탄소년단이 데뷔 3년만에 입성한 곳은?,numeric_temporal_mismatch,,structured_rewrite,대상: 방탄소년단 3년만 입성한 / 요구정보: 정답 정보 / 숫자·시간 조건: 방탄소년단 3년만
korquad1_dev_q_003499,korquad1,방탄소년단이 데뷔 3년만에 입성한 곳은?,numeric_temporal_mismatch,,llm_rewrite,방탄소년단 3년만 입성한에서 특정 숫자나 시간 조건에 해당하는 정답 정보를 찾는 검색 질의
korquad1_dev_q_003550,korquad1,김영대의 직업은?,missing_key_term,,original,김영대의 직업은?
korquad1_dev_q_003550,korquad1,김영대의 직업은?,missing_key_term,,keyword_rewrite,김영대 직업 정답 정보
korquad1_dev_q_003550,korquad1,김영대의 직업은?,missing_key_term,,semantic_rewrite,김영대 직업와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_003550,korquad1,김영대의 직업은?,missing_key_term,,structured_rewrite,대상: 김영대 직업 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_003550,korquad1,김영대의 직업은?,missing_key_term,,llm_rewrite,김영대 직업의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_004024,korquad1,차범근은 어떤 위업을 달성하였는가?,missing_key_term,,original,차범근은 어떤 위업을 달성하였는가?
korquad1_dev_q_004024,korquad1,차범근은 어떤 위업을 달성하였는가?,missing_key_term,,keyword_rewrite,달성하였는 차범근 위업 정답 정보
korquad1_dev_q_004024,korquad1,차범근은 어떤 위업을 달성하였는가?,missing_key_term,,semantic_rewrite,달성하였는 차범근 위업와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_004024,korquad1,차범근은 어떤 위업을 달성하였는가?,missing_key_term,,structured_rewrite,대상: 달성하였는 차범근 위업 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_004024,korquad1,차범근은 어떤 위업을 달성하였는가?,missing_key_term,,llm_rewrite,달성하였는 차범근 위업의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_004258,korquad1,박기혁은 어떤 상을 수상했었는가?,missing_key_term,,original,박기혁은 어떤 상을 수상했었는가?
korquad1_dev_q_004258,korquad1,박기혁은 어떤 상을 수상했었는가?,missing_key_term,,keyword_rewrite,수상했었는 박기혁 상을 숫자·연도 정보
korquad1_dev_q_004258,korquad1,박기혁은 어떤 상을 수상했었는가?,missing_key_term,,semantic_rewrite,수상했었는 박기혁 상을와 관련해 필요한 정보인 숫자·연도 정보를 명확히 묻는 질문
korquad1_dev_q_004258,korquad1,박기혁은 어떤 상을 수상했었는가?,missing_key_term,,structured_rewrite,대상: 수상했었는 박기혁 상을 / 필요한 정보: 숫자·연도 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_004258,korquad1,박기혁은 어떤 상을 수상했었는가?,missing_key_term,,llm_rewrite,수상했었는 박기혁 상을의 숫자·연도 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_004259,korquad1,현대 유니콘스가 해체된 날은?,missing_key_term,,original,현대 유니콘스가 해체된 날은?
korquad1_dev_q_004259,korquad1,현대 유니콘스가 해체된 날은?,missing_key_term,,keyword_rewrite,유니콘스 해체된 현대 날은 정답 정보
korquad1_dev_q_004259,korquad1,현대 유니콘스가 해체된 날은?,missing_key_term,,semantic_rewrite,유니콘스 해체된 현대와 관련해 필요한 정보인 정답 정보를 명확히 묻는 질문
korquad1_dev_q_004259,korquad1,현대 유니콘스가 해체된 날은?,missing_key_term,,structured_rewrite,대상: 유니콘스 해체된 현대 / 필요한 정보: 정답 정보 / 조건: 질문에 드러난 핵심 단서
korquad1_dev_q_004259,korquad1,현대 유니콘스가 해체된 날은?,missing_key_term,,llm_rewrite,유니콘스 해체된 현대의 정답 정보가 드러나는 문서를 찾기 위한 구체적인 검색 질의
korquad1_dev_q_004318,korquad1,하현우가 되고싶어하는 직업은?,missing_key_term,,original,하현우가 되고싶어하는 직업은?
